ID,スキル名,スキル説明,発動条件（元データ）,発動条件,発動条件 (日本語訳),確定発動,持続時間補正値,基準持続時間(s),クールタイム補正値,基準クールタイム(s),査定値,種類,スキル対象,target_value_1_1,補正値,値（補正値の1/10000）,種類2,スキル対象2,target_value_1_2,補正値2,値（補正値2の1/10000）,種類3,スキル対象3,target_value_1_3,補正値3,値（補正値3の1/10000）
10521,ワクワクよーいドン,最終コーナーで後ろの方にいると近くのウマ娘を見て持久力を少し回復する,is_finalcorner==1&corner!=0&order_rate>50&near_count>=1,最終コーナー＝到達&コーナーである&順位率>50&近くのウマ娘の数>=1,最終コーナーにおいて順位率50%より後ろ[7位～12位]で、前後左右1.5m未満にウマ娘の数が1以上,〇,0,瞬時発動,5000000,500,240,体力回復,自分,-,350,"0,035",-,-,-,-,-,-,-,-,-,-
10561,来てください来てください！,レース終盤に前方が詰まるとお告げの力で少し道を切り開く,phase>=2&order>=3&blocked_front==1,レース終盤&順位>=3&前方詰まり＝〇,レース終盤以降において、順位が3位以下[3～12位]の際に、前方が詰まってる,〇,50000,5,5000000,500,240,目標速度アップ,自分,-,2500,"0,25",-,-,-,-,-,-,-,-,-,-
10601,アタシもたまには、ね？,レース終盤で3番手の時に負けそうになると闘志に火が付き速度が少し上がる,phase>=2&order==3&bashin_diff_behind<=1,レース終盤&順位==3&後ろの馬との距離（馬身数）<=1,レース終盤以降において、順位が3位かつ後ろの馬と1馬身以内,〇,50000,5,5000000,500,240,目標速度アップ,自分,-,2500,"0,25",-,-,-,-,-,-,-,-,-,-
10611,Call me KING,レースを冷静に運ぶことができると残り200mで実力発揮、速度が上がる,temptation_count==0&remain_distance<=201&remain_distance>=199&order>=5&order_rate<=60,掛かり回数==0&残り距離<=201&残り距離>=199&順位>=5&順位率<=60%,残り200ｍ地点において、掛かり回数0回かつ、順位が5位以下かつ順位率60%以内[5～7位],〇,50000,5,5000000,500,240,目標速度アップ,自分,-,3500,"0,35",-,-,-,-,-,-,-,-,-,-
100011,シューティングスター,レース終盤に前の方で相手を抜くと勢いに乗って速度が上がる,phase>=2&order>=2&order_rate<=50&change_order_onetime<0,レース終盤&順位>=2&順位率<=50%&変動順位<0,レース終盤以降において、追い抜いた時に順位が2位以下かつ順位率50%以内[2～6位],〇,50000,5,5000000,500,340,目標速度アップ,自分,-,3500,"0,35",-,-,-,-,-,-,-,-,-,-
100021,先頭の景色は譲らない…！,最終直線で差を付けて先頭にいるとさらなる脚を使って、速度を上げる,is_finalcorner==1&corner==0&order==1&bashin_diff_behind>=1,最終コーナー＝到達&直線である&順位＝1&後ろの馬との距離（馬身数）>=1,最終直線において、順位が1位の時に後ろのウマと1馬身以上,〇,50000,5,5000000,500,340,目標速度アップ,自分,-,3500,"0,35",-,-,-,-,-,-,-,-,-,-
100031,究極テイオーステップ,最終直線で前と差が詰まると華麗な脚取りで速度がすごく上がる,is_finalcorner==1&corner==0&order<=3&bashin_diff_infront<=1&is_overtake==1,最終コーナー＝到達&直線である&順位<=3&前の馬との距離（馬身数）<=1&追い越し状態,最終直線において、順位が3位以内かつ前のウマと1馬身以内で、追い越し対象が存在する,〇,50000,5,5000000,500,340,目標速度アップ,自分,-,4500,"0,45",-,-,-,-,-,-,-,-,-,-
100041,紅焔ギア/LP1211-M,最終コーナー以降で前の方にいるとギアを変えて加速力が上がる,is_finalcorner==1&order<=5&order_rate<=50,最終コーナー＝到達&順位<=5&順位率<=50%,最終コーナー以降、順位5位以内かつ順位率50%以内[1～5位],〇,40000,4,5000000,500,340,加速度アップ,自分,-,4000,"0,4",-,-,-,-,-,-,-,-,-,-
100051,煌星のヴォードヴィル,最終直線で前の方で少し抜け出ていると輝きを増し速度がすごく上がる,is_finalcorner==1&corner==0&order_rate<=30&behind_near_lane_time>=1,最終コーナー到達&直線である&順位率<=30&後ろの近くのレーンに他のウマがいる時間？>=1,"最終直線において、順位率30％以内[1～4位]の時に、一番近くの後ろのウマが1バ身以内かつ左右距離1ウマ幅以内に1秒以上いた場合
（相手のウマが変わってもよいが、自分の順位が変わると時間リセット）",〇,50000,5,5000000,500,340,目標速度アップ,自分,-,4500,"0,45",-,-,-,-,-,-,-,-,-,-
100061,勝利の鼓動,残り200m地点で前の方にいると道を開いてすごく抜け出しやすくなる,order>=2&order<=5&order_rate<=50&remain_distance<=201&remain_distance>=199,順位>=2&順位<=5&順位率<=50%&残り距離<=201&残り距離>=199,残り200m地点において、順位2位以下かつ5位以内かつ順位率50%以内[2～5位],〇,50000,5,5000000,500,340,目標速度アップ,自分,-,4500,"0,45",-,-,-,-,-,-,-,-,-,-
100071,不沈艦、抜錨ォッ！,レース中間からロングスパートをかけて速度が少しずつ上がる,distance_rate>=50&distance_rate<=60&order_rate>50,走行距離>=50%&走行距離<=60&順位率>50%,走行距離50%～60%において、順位率50%より後ろ[7～12位],〇,60000,6,5000000,500,340,目標速度アップ,自分,-,2500,"0,25",-,-,-,-,-,-,-,-,-,-
100081,カッティング×DRIVE！,残り200mを切って前の方にいると競り合いに強くなり速度が上がる,order>=3&order_rate<=50&remain_distance<=200&bashin_diff_infront<=1@order>=3&order_rate<=50&remain_distance<=200&bashin_diff_behind<=1,順位>=3&順位率<=50%&残り距離<=200&前の馬との距離（馬身数）<=1または順位>=3&順位率<=50&残り距離<=200&後ろの馬との距離（馬身数）<=1,残り距離が200m以下において、順位が3位以下かつ順位率50%以内[3～6位]で、前後の馬どちらかと1馬身以内,〇,50000,5,5000000,500,340,目標速度アップ,自分,-,3500,"0,35",-,-,-,-,-,-,-,-,-,-
100091,ブリリアント・レッドエース,レース後半で1番をキープし続ける力を発揮する,distance_rate>=50&order==1&bashin_diff_behind<=1,走行距離>=50%&順位＝1&後ろの馬との距離（馬身数）<=1,走行距離が50%以上において、順位が1位の時に、後ろの馬と1馬身以内,〇,50000,5,5000000,500,340,目標速度アップ,自分,-,2500,"0,25",加速度アップ,自分,-,3000,"0,3",-,-,-,-,-
100101,ヴィクトリーショット！,最終コーナーで好位置にいると弾みを付けて加速力が上がる,is_finalcorner==1&corner!=0&order>=3&order_rate<=50,最終コーナー＝到達&コーナーである&順位>=3&順位率<=50%,最終コーナにおいて、順位が3位以下かつ順位率50%以内[3～6位],〇,40000,4,5000000,500,340,加速度アップ,自分,-,4000,"0,4",-,-,-,-,-,-,-,-,-,-
100111,精神一到何事か成らざらん,最終直線で後ろの方から追い抜くと末脚を使って速度が上がる,is_finalcorner==1&corner==0&change_order_onetime<0&order>=4,最終コーナー＝到達&直線である&変動順位<0&順位>=4,最終直線において、追い抜いた時に4位以下[4～11位],〇,50000,5,5000000,500,340,目標速度アップ,自分,-,3500,"0,35",-,-,-,-,-,-,-,-,-,-
100121,タイマン！デッドヒート！,最終直線で後ろの方から外を回って追い抜く時、速度を上げる,is_finalcorner==1&corner==0&is_behind_in==1&change_order_onetime<0&order_rate>=40,最終コーナー到達&コーナーではない&自分の内側背後にウマがいる&1つでも順位を上げる&順位率>=40%[6位~12位],最終直線において、1つでも順位を上げた際に自分の内側背後にウマがいて、順位率40%より後ろ[6位~12位],〇,50000,5,5000000,500,340,目標速度アップ,自分,-,3500,"0,35",-,-,-,-,-,-,-,-,-,-
100131,貴顕の使命を果たすべく,最終コーナーで前の方にいると抜かさせない覚悟を決めて速度が上がる,is_finalcorner==1&corner!=0&distance_diff_rate<=30,最終コーナー＝到達&コーナーである&全ウマ娘の距離の差における前からの率（数字が小さいほど前）<=30%,最終コーナーにおいて、全ウマ娘の距離の差のうち前から30%以内,〇,50000,5,5000000,500,340,目標速度アップ,自分,-,3500,"0,35",-,-,-,-,-,-,-,-,-,-
100141,プランチャ☆ガナドール,最終直線で余力を持って前にいるとより優位を保ちやすくなる,is_finalcorner==1&corner==0&hp_per>=30&order<=2,最終コーナー＝到達&直線である&体力割合>=30%&順位<=2,最終直線において、体力割合が30%以上かつ、順位が2位以内[1～2位],〇,50000,5,5000000,500,340,目標速度アップ,自分,-,2500,"0,25",加速度アップ,自分,-,3000,"0,3",-,-,-,-,-
100151,ヴィットーリアに捧ぐ舞踏,最終コーナーで前の方で競り合うと王たる輝きで速度が上がる,is_finalcorner==1&corner!=0&bashin_diff_infront<=1&bashin_diff_behind<=1&blocked_side_continuetime>=2&order<=4,最終コーナーにおいて、前のウマと1馬身以内&後ろのウマと1馬身以内&競り合った時間>=2&順位<=4,最終コーナーにおいて、前のウマと1馬身以内かつ後ろのウマと1馬身以内で競り合った時間2秒以上の時に、4位以内,〇,50000,5,5000000,500,340,目標速度アップ,自分,-,3500,"0,35",-,-,-,-,-,-,-,-,-,-
100161,Shadow Break,最終コーナー以降で外から追い抜くと怪物的な力で、速度を上げる,is_finalcorner==1&order>=2&order_rate<=75&is_behind_in==1&change_order_onetime<0,最終コーナー到達&2位以下&順位率75%より前&内側背後にウマがいる＝〇変動順位<1,最終コーナー以降、1つでも順位を上げた際に自分の内側背後にウマがいて、2位以下かつ順位率75%以内[2～9位]の範囲内だった場合,〇,50000,5,5000000,500,340,目標速度アップ,自分,-,3500,"0,35",-,-,-,-,-,-,-,-,-,-
100171,汝、皇帝の神威を見よ,レース終盤に3回追い抜くと最終直線で速度がすごく上がる,is_finalcorner==1&change_order_up_end_after>=3&corner==0,最終コーナー＝到達&追い抜き回数>=3&直線である,（終盤以降の？）追い抜き回数3回以上で、最終直線に居る,〇,50000,5,5000000,500,340,目標速度アップ,自分,-,4500,"0,45",-,-,-,-,-,-,-,-,-,-
100181,ブレイズ・オブ・プライド,最終コーナーで後ろから追い抜くと女帝たる走りで速度が上がる,is_finalcorner==1&corner!=0&order>=4&change_order_onetime<0,最終コーナー＝到達&コーナーである&順位>=4&変動順位<0,最終コーナーにおいて、追い抜いた時に4位以下[4～11位],〇,50000,5,5000000,500,340,目標速度アップ,自分,-,3500,"0,35",-,-,-,-,-,-,-,-,-,-
100201,アングリング×スキーミング,レース終盤のコーナーで先頭にいるとこれ幸いと加速力を上げる,phase>=2&corner!=0&order==1,レース終盤以降&コーナーである&1位,レース終盤以降のコーナーにおいて、1位,〇,40000,4,5000000,500,340,加速度アップ,自分,-,4000,"0,4",-,-,-,-,-,-,-,-,-,-
100231,∴win Q.E.D.,最終コーナーで前の方で追い抜くと勝利の方程式を導き、速度を上げる,is_finalcorner==1&corner!=0&change_order_onetime<0&order<=4,最終コーナー＝到達&コーナーである&変動順位<0&順位<=4,最終コーナーにおいて、追い抜いた時に4位以内[1～4位],〇,50000,5,5000000,500,340,目標速度アップ,自分,-,3500,"0,35",-,-,-,-,-,-,-,-,-,-
100241,ひらめき☆ランディング,最終コーナーで前の方で競り合うと直線で抜け出しやすくなる,is_finalcorner==1&corner!=0&blocked_side_continuetime>=2&order<=3,最終コーナー＝到達&コーナーである&競り合った時間>=2&順位<=3,最終コーナーにおいて、競り合った時間が2秒以上かつ順位が3位以内[1～3位],〇,50000,5,5000000,500,340,目標速度アップ,自分,-,2500,"0,25",加速度アップ,自分,-,3000,"0,3",-,-,-,-,-
100261,G00 1st.F∞;,最終直線までみずから崩れることなく前の方にいると速度が上がる,is_badstart==0&temptation_count==0&order<=3&is_finalcorner==1&corner==0,出遅れ＝×&掛かり回数＝×&順位<=3&最終コーナー＝到達&直線である,最終直線において、出遅れ0回かつ掛かり回数0回で、順位が3位以内[1～3位],〇,50000,5,5000000,500,340,目標速度アップ,自分,-,3500,"0,35",-,-,-,-,-,-,-,-,-,-
100271,レッツ・アナボリック！,レース終盤のコーナーで前の位置につこうとして加速力が上がる,phase>=2&corner!=0&order_rate>=65&order_rate<=70,レース終盤&コーナーである&順位率>=65%&順位率<=70%,"レース終盤以降のコーナーにおいて、順位率65%～70%[8位]
＊65～70%の範囲に関して、6/9位、8/12位、13/18位で発動確認のため注意",〇,40000,4,5000000,500,340,加速度アップ,自分,-,4000,"0,4",-,-,-,-,-,-,-,-,-,-
100301,ブルーローズチェイサー,最終直線で抜け出した時に強い意志を持って速度が上がる,is_finalcorner==1&corner==0&order<=4&change_order_onetime<0,最終コーナー＝到達&直線である&順位<=4&変動順位<0,最終直線において、追い抜いた時に順位が4位以内[1～4位],〇,50000,5,5000000,500,340,目標速度アップ,自分,-,3500,"0,35",-,-,-,-,-,-,-,-,-,-
100321,U=ma2,レース後半のコーナーで控えていると持久力が回復する,distance_rate>=50&corner!=0&order>=3&order_rate<=40,走行距離>=50%&コーナーである&順位>=3&順位率<=40%,走行距離が50%以上のコーナーにおいて3位以下かつ順位率40%以内[3～5位],〇,0,瞬時発動,5000000,500,340,体力回復,自分,-,550,"0,055",-,-,-,-,-,-,-,-,-,-
100351,勝利のチケットを、君にッ！,最終直線で競り合いに負けない強い気持ちが湧き、速度が上がる,is_finalcorner==1&corner==0&order<=5&blocked_side_continuetime>=2,最終コーナー＝到達&直線である&順位<=5&競り合った時間>=2,最終直線において、順位が5位以内[1～5位]かつ、競り合った時間が2秒以上,〇,50000,5,5000000,500,340,目標速度アップ,自分,-,3500,"0,35",-,-,-,-,-,-,-,-,-,-
100381,#LookatCurren,レース中盤付近で好位置にいる時に追い抜くと勢いづき進出を開始する,distance_rate>=50&distance_rate<=65&order>=3&order_rate<=40&change_order_onetime<0,走行距離>=50%&走行距離<=65%順位>=3&順位率<=40%&変動順位<0,レース全体の50～65%において、追い抜いた時に順位が3位以下かつ順位率40%以内[3～5位],〇,50000,5,5000000,500,340,目標速度アップ,自分,-,2500,"0,25",加速度アップ,自分,-,3000,"0,3",-,-,-,-,-
100401,KEEP IT REAL.,レース後半に中団から仕掛け始める時に持てるパフォーマンスを発揮して加速力を少しずつ上げる,distance_rate>=50&order_rate>=40&order_rate<=70&is_overtake==1,距離>=50&順位率>=40&順位率<=70&追い越し状態,走行距離50%以上において、順位率が40%～70%[5～8位]の際に、追い越し対象が存在する（追い越し状態になる必要はない。詳しくは解析まとめに記載）,〇,60000,6,5000000,500,340,加速度アップ,自分,-,3000,"0,3",-,-,-,-,-,-,-,-,-,-
100411,優等生×バクシン＝大勝利ッ,レース後半に前の方で競り合うとバクシン力（？）を発揮、速度が上がる,distance_rate>=50&order<=3&blocked_side_continuetime>=2,走行距離>=50%&順位<=3&競り合った時間>=2,走行距離が50%以上において、順位が3位以内[1～3位]かつ、競り合った時間が2秒以上,〇,50000,5,5000000,500,340,目標速度アップ,自分,-,3500,"0,35",-,-,-,-,-,-,-,-,-,-
100451,ピュリティオブハート,レース中盤で好位置にいる時に持久力が回復する,phase_random==1&order>=2&order_rate<=40,レース中盤(ランダム判定？)&順位>=2&順位率<=40%,レース中盤のランダムな区間内で、順位が2位以下かつ順位率40%以内[2～5位],〇,0,瞬時発動,5000000,500,340,体力回復,自分,-,550,"0,055",-,-,-,-,-,-,-,-,-,-
100461,キラキラ☆STARDOM,レース中盤の直線で先頭を奪われそうになると譲らない想いが力になる,phase==1&corner==0&order==1&bashin_diff_behind<=1,レース中盤&直線である&順位=1&後ろのウマとの距離（馬身数）<=1,レース中盤の直線で、順位が1位の際に後ろのウマとの距離が1馬身以内,〇,50000,5,5000000,500,340,目標速度アップ,自分,-,2500,"0,25",加速度アップ,自分,-,3000,-,-,-,-,-,-
100501,Nemesis,最終コーナーで集団の後方の位置から前へ出る時、切れ味が増し速度が上がる,is_finalcorner==1&corner!=0&order_rate>=50&order_rate<=75&is_overtake==1,最終コーナー＝到達&コーナーである&順位率>=50%&順位率<=75%&追い越し状態,最終コーナーにおいて、順位率50～75%[6位～9位]の時に追い越し対象が存在,〇,50000,5,5000000,500,340,目標速度アップ,自分,-,3500,"0,35",-,-,-,-,-,-,-,-,-,-
100521,ワクワククライマックス,最終コーナーで後ろの方にいると近くのウマ娘を見て持久力を回復する,is_finalcorner==1&corner!=0&order_rate>50&near_count>=1,最終コーナー＝到達&コーナーである&順位率>50%&近くのウマ娘の数>=1,最終コーナーにおいて順位率50%より後ろ[7位～12位]で、前後左右1.5m未満にウマ娘の数が1以上,〇,0,瞬時発動,5000000,500,340,体力回復,自分,-,550,"0,055",-,-,-,-,-,-,-,-,-,-
100561,来ます来てます来させます！,レース終盤に前方が詰まるとお告げの力で道を切り開く,phase>=2&order>=3&blocked_front==1,レース終盤&順位>=3&前方詰まり＝〇,レース終盤以降において、順位が3位以下[3～12位]の際に、前方が詰まってる（前方のブロックウマがいる）,〇,50000,5,5000000,500,340,目標速度アップ,自分,-,3500,"0,35",-,-,-,-,-,-,-,-,-,-
100581,I Never Goof Up!,レース終盤のコーナーで中団以降のポジションから追い抜くとあきらめない心を発揮して前を目指す,phase>=2&corner!=0&order>=3&change_order_onetime<0,フェーズ>=2&コーナーである&順位>=3&順位変動<0,レース終盤以降のコーナーにおいて、追い抜いた際に3位以下[3～12位],〇,50000,5,5000000,500,240,目標速度アップ,自分,-,2500,"0,25",加速度アップ,自分,-,3000,"0,3",-,-,-,-,-
100601,きっとその先へ…！,レース終盤で3番手の時に負けそうになると秘めた闘志に火が付き速度が上がる,phase>=2&order==3&bashin_diff_behind<=1,レース終盤&順位==3&後ろの馬との距離（馬身数）<=1,レース終盤以降において、順位が3位かつ後ろの馬と1馬身以内,〇,50000,5,5000000,500,340,目標速度アップ,自分,-,3500,"0,35",-,-,-,-,-,-,-,-,-,-
100611,Pride of KING,レースを冷静に運ぶことができると残り200mで実力発揮、速度がすごく上がる,temptation_count==0&remain_distance<=201&remain_distance>=199&order>=5&order_rate<=60,掛かり回数＝×&残り距離<=201&残り距離>=199&順位>=5&順位率<=60%,残り200ｍ地点において、掛かり回数0回かつ、順位が5位以下かつ順位率60%以内[5～7位],〇,50000,5,5000000,500,340,目標速度アップ,自分,-,4500,"0,45",-,-,-,-,-,-,-,-,-,-
110011,わやかわ♪マリンダイヴ,中盤で2回スキルを使うとよりリラックスして持久力が回復する,phase==1&order>=2&order_rate<=70&activate_count_middle>=2,中盤&順位>=2&順位率<=70&中盤発動スキル数>=2,レース中盤において、2位以下かつ順位70％以内[2～8位]の時に、中盤発動スキルが2つ以上,〇,0,0,5000000,500,340,体力回復,自分,-,550,"0,055",-,-,-,-,-,-,-,-,-,-
110031,絶対は、ボクだ,最終直線で前の方で追いすがっていると不屈の闘志で速度が上がる,is_finalcorner==1&corner==0&is_overtake==1&order<=5&order_rate<=50&overtake_target_no_order_up_time>=2,最終コーナー＝到達&直線である&追い越し状態&順位<=5&順位率<=50%&追い越し状態でのウマの順位上昇時間>=2,最終直線において、5位以内かつ半分より前の場合、追い越し状態で(追い越そうとしたウマに対して2秒以上順位が上がらなかった際?),〇,50000,5,5000000,500,340,目標速度アップ,自分,-,3500,"0,35",-,-,-,-,-,-,-,-,-,-
110041,グッときて♪Chu,スキルで持久力を回復するとレース後半で前のほうにいる時にレッツラゴー！と速度を上げる,distance_rate>=50&activate_count_heal>=1&order<=3,走行距離>=50&発動回復スキル数>=1&順位<=3,走行距離50％以上において、順位が3位以内[1～3位]の時に、発動回復スキルが1回以上,〇,50000,5,5000000,500,340,目標速度アップ,自分,-,3500,"0,35",-,-,-,-,-,-,-,-,-,-
110111,ゲインヒール・スペリアー,中盤に後ろの方で順位を下げた時に優しい光で持久力を回復する,phase==1&change_order_onetime>0&order_rate>=40,中盤&順位変動>0&順位率>=40,中盤において、順位を下げたときに、順位率40％以下[6～12位],〇,0,0,5000000,500,340,体力回復,自分,-,550,"0,055",-,-,-,-,-,-,-,-,-,-
110131,最強の名を懸けて,最終コーナー以降に前めで力が尽きかけ詰め寄られると速度が上がる,is_finalcorner==1&hp_per<=35&order<=3&order_rate<=50&bashin_diff_behind<=1&overtake_target_time>=1,最終コーナー＝到達&体力割合<=35%&順位<=3&順位率<=50%&後ろのウマとの距離（馬身数）<=1&追い越し時間?>=1,最終コーナー以降、体力割合35%以下の際、3位以内かつ半分より前の場合において、後ろのウマと1馬身以内かつ(そのウマが1秒以上追い越し状態である？),〇,50000,5,5000000,500,340,目標速度アップ,自分,-,3500,"0,35",-,-,-,-,-,-,-,-,-,-
110141,コンドル猛撃波,最終コーナーで中団から前を狙う時魂を燃え滾らせて加速力を上げる,is_finalcorner==1&corner!=0&is_overtake==1&order>=4&order_rate<=75,最終コーナー==到達&コーナーである&追い抜き状態&順位>=4&順位率<=75,最終コーナーにおいて、順位が4位以下かつ順位率75%以内[4～9位]の時に、追い越し対象が存在する,〇,40000,4,5000000,500,340,加速度アップ,自分,-,4000,"0,4",-,-,-,-,-,-,-,-,-,-
110181,薫風、永遠なる瞬間を,レース中盤で前の方から仕掛け始める時に速度が上がる,phase_random==1&order>=3&order_rate<=50&is_overtake==1,レース中盤&順位>=3&順位率<=50&追い抜き状態==〇,レース中盤のランダムな区間内において、順位が3位以下かつ順位率50%以内[3～6位]で、追い越し対象が存在する,〇,50000,5,5000000,500,340,目標速度アップ,自分,-,3500,"0,35",-,-,-,-,-,-,-,-,-,-
110241,フラワリー☆マニューバ,最終コーナーで前の方で抜くと速度が後ろの方で抜くと加速力が上がる,is_finalcorner==1&corner!=0&order_rate<=40&change_order_onetime<0,最終コーナー==到達&コーナーである&順位率<=40&変動順位<0,最終コーナーにおいて、追い抜いた時に順位率40%以内[1～5位],〇,50000,5,5000000,500,340,目標速度アップ,自分,-,3500,"0,35",-,-,-,-,-,-,-,-,-,-
110241,フラワリー☆マニューバ,最終コーナーで前の方で抜くと速度が後ろの方で抜くと加速力が上がる,is_finalcorner==1&corner!=0&order_rate>=50&order_rate<=80&change_order_onetime<0,最終コーナー==到達&コーナーである&順位率>=50&順位率<=80&変動順位<0,最終コーナーにおいて、追い抜いた時に順位率50%～80%[7～9位],〇,40000,4,5000000,500,340,加速度アップ,自分,-,4000,"0,4",-,-,-,-,-,-,-,-,-,-
